Kabupaten,Jumlah Perkara
KABUPATEN PENUKAL ABAB LEMATANG ILIR,3
KOTA CIREBON,3
KABUPATEN OGAN KOMERING ULU SELATAN,3
KOTA PARIAMAN,3
KABUPATEN PEGUNUNGAN ARFAK,3
KABUPATEN TELUK WONDAMA,3
KABUPATEN MUNA,3
KABUPATEN SUKOHARJO,3
KABUPATEN AGAM,3
KABUPATEN PEMALANG,3
KABUPATEN BREBES,3
KABUPATEN GORONTALO UTARA,3
Kabupaten Halmahera Utara,3
KABUPATEN PANGANDARAN,3
KABUPATEN SUKABUMI,3
KABUPATEN SIAK,3
Kabupaten Tidore Kepulauan,2
KAB. TANAH DATAR,2
PADANG PARIAMAN,2
KABUPATEN SEMARANG,2
KAB.KEP MENTAWAI,2
"KABUPATEN KEPULAUAN MENTAWAI,",2
KABUPATEN TEGAL,2
KOTA SURAKARTA,2
KABUPATEN BUTON UTARA,2
KABUPATEN PURWOREJO,2
KABUPATEN BUTON,2
KABUPATEN KLUNGKUNG,2
KABUPATEN KARANGASEM,2
KOTA DENPASAR,2
KABUPATEN MUSIRAWAS UTARA,2
KABUPATEN PEGUNUNGAN BINTANG,2
KOTA PALU,2
KABUPATEN SERAM BAGIAN TIMUR,2
KOTA PRABUMULIH,1
KABUPATEN LOMBOK,1
Kabupaten Halmahera Selatan,1
Kabupaten Halmahera Tengah,1
KABUPATEN BANGKEP,1
Kabupaten Pulau Morotai,1
kota Ternate,1
KAB.PADANG PARIAMAN,1
KABUPATEN PESISIR SELATAN,1
KAB. KEP. MENTAWAI,1
KABUPATEN WONOGIRI,1
DI KAMPUNG KALAWI BARAT GANG BALUKA NO. 2 RT. 02 RW. 03 KEL. LUBUK LINTAH KEC KURANJI KOTA PADANG,1
0,1
KABUPATEN KEPULAUAN MENTAWAI,1
KABUPATEN BUTON SELATAN,1
KABUPATEN KOLAKA TIMUR,1
KOTA SALATIGA,1
KOTA SINGKAWANG SELATAN,1
KABUPATEN GARUT,1
KABUPATEN BOMBANA (MENGIKUTI KONTEKS),1
KABUPATEN DEMAK,1
KABUPATEN BULELENG,1
JAKARTA UTARA,1
JAKARTA TIMUR,1
—,1
KOTA PEKALONGAN,1
KOTA SEMARANG DAN TEGAL,1
KOTA TARAKAN,1
KABUPATEN MUSI BANYU ASIN,1
KABUPATEN MESUJI,1
"KOTA MEDAN, SUMATERA UTARA",1
"KABUPATEN INDRAMAYU, JAWA BARAT",1
"KOTA DEPOK, JAWA BARAT",1
"KABUPATEN GUNUNG KIDUL, YOGYAKARTA",1
KABUPATEN BANGGAI UTARA,1
KABUPATEN MALUKU TENGGARA BARAT,1
KABUPATEN KUBU RAYA,1
